"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_read.sum.pct_of_peak_sustained_elapsed","dram__bytes_write.sum","gpu__time_duration.sum","pmsampling:sm__pipe_tensor_cycles_active_realtime.avg.pct_of_peak_sustained_elapsed","sm__inst_executed.avg.pct_of_peak_sustained_elapsed"
"","","","","","","","","","","","Gbyte","%","Mbyte","usecond","%","%"
"290","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000004","0.037114","0.000000","3.136000","0.000003","0.004122"
"291","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<double>, std::array<char *, (unsigned long)1>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000003","0.038507","0.000000","2.592000","0.000000","0.002347"
"292","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000066","0.442249","0.000000","4.480000","0.000000","0.011274"
"293","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000007","0.062361","0.000000","3.328000","0.000004","0.006206"
"294","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000004","0.039124","0.000000","3.136000","0.000003","0.004058"
"295","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000015","0.128796","0.000000","3.424000","0.000001","0.004305"
"296","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000016","0.101122","0.000000","4.704000","0.000000","0.010149"
"297","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000004","0.038023","0.000000","3.232000","0.000003","0.004194"
"298","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000016","0.108114","0.000000","4.480000","0.000000","0.010575"
"299","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","1","9.0","0.000004","0.039777","0.000000","3.104000","0.000004","0.004274"
"300","48439","python3.10","127.0.0.1","sm90_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x64_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas","1","7","(384, 1, 1)","(72, 1, 1)","1","9.0","0.075562","67.822840","2.978304","33.248000","1.835807","6.384353"
"301","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000035","0.188889","0.000000","5.536000","0.000215","0.164425"
"302","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000035","0.200472","0.000000","5.216000","0.000218","0.172079"
"303","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std::array<char *, (unsigned long)3>>(int, T2, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000021","0.195611","0.000000","3.200000","0.000000","0.044326"
"304","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000035","0.197156","0.000000","5.312000","0.000212","0.163097"
"305","48439","python3.10","127.0.0.1","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000035","0.188095","0.000000","5.536000","0.000196","0.161711"
"306","48439","python3.10","127.0.0.1","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std::array<char *, (unsigned long)3>>(int, T2, T3)","1","7","(128, 1, 1)","(8, 1, 1)","1","9.0","0.000021","0.206653","0.000000","3.072000","0.000000","0.046075"
