model,dtype,num_gpus,batch,seq_len,stage,time_ms,time_pct,TFLOPS,compute_util_pct,bytes_GB,BW_TBs,bw_util_pct
qwen3-235B-GQA,fp8,1,8,4096,proj_o,1.5629,1.67,1407.017,71.10,1.107296,0.7085,21.15
qwen3-235B-GQA,fp8,1,8,4096,TOTAL,93.4743,100.00,97.502,4.93,37.081842,0.3967,11.84
qwen3-235B-GQA,fp8,1,16,128,proj_qkv,0.1371,23.68,1128.064,57.00,0.100663,0.7344,21.92
qwen3-235B-GQA,fp8,1,16,128,attn,0.3293,56.88,26.340,1.33,0.102760,0.3121,9.32
qwen3-235B-GQA,fp8,1,16,128,proj_o,0.1126,19.44,1220.924,61.69,0.100663,0.8942,26.69
qwen3-235B-GQA,fp8,1,16,128,TOTAL,0.5789,100.00,519.460,26.25,0.304087,0.5253,15.68
qwen3-235B-GQA,fp8,1,16,256,proj_qkv,0.2367,17.39,1306.397,66.01,0.163578,0.6910,20.63
qwen3-235B-GQA,fp8,1,16,256,attn,0.9117,66.98,38.055,1.92,0.339739,0.3726,11.12
qwen3-235B-GQA,fp8,1,16,256,proj_o,0.2127,15.63,1292.477,65.31,0.167772,0.7889,23.55
qwen3-235B-GQA,fp8,1,16,256,TOTAL,1.3611,100.00,454.643,22.97,0.671089,0.4931,14.72
qwen3-235B-GQA,fp8,1,16,512,proj_qkv,0.4365,11.41,1416.909,71.60,0.289407,0.6630,19.79
qwen3-235B-GQA,fp8,1,16,512,attn,2.9841,78.01,46.507,2.35,1.216348,0.4076,12.17
qwen3-235B-GQA,fp8,1,16,512,proj_o,0.4047,10.58,1358.441,68.64,0.301990,0.7462,22.28
qwen3-235B-GQA,fp8,1,16,512,TOTAL,3.8253,100.00,341.677,17.27,1.807745,0.4726,14.11
qwen3-235B-GQA,fp8,1,16,1024,proj_qkv,0.8599,6.89,1438.518,72.69,0.541065,0.6292,18.78
qwen3-235B-GQA,fp8,1,16,1024,attn,10.8292,86.74,51.262,2.59,4.580180,0.4229,12.63
qwen3-235B-GQA,fp8,1,16,1024,proj_o,0.7960,6.38,1381.346,69.80,0.570425,0.7166,21.39
qwen3-235B-GQA,fp8,1,16,1024,TOTAL,12.4851,100.00,231.603,11.70,5.691671,0.4559,13.61
qwen3-235B-GQA,fp8,1,16,2048,proj_qkv,1.6933,2.81,1461.014,73.83,1.044382,0.6168,18.41
qwen3-235B-GQA,fp8,1,16,2048,attn,57.0926,94.60,38.893,1.97,17.750295,0.3109,9.28
qwen3-235B-GQA,fp8,1,16,2048,proj_o,1.5637,2.59,1406.326,71.06,1.107296,0.7081,21.14
qwen3-235B-GQA,fp8,1,16,2048,TOTAL,60.3495,100.00,114.225,5.77,19.901972,0.3298,9.84
qwen3-235B-GQA,fp8,1,32,128,proj_qkv,0.2367,22.37,1306.617,66.02,0.163578,0.6912,20.63
qwen3-235B-GQA,fp8,1,32,128,attn,0.6093,57.58,28.471,1.44,0.205521,0.3373,10.07
qwen3-235B-GQA,fp8,1,32,128,proj_o,0.2121,20.05,1295.684,65.47,0.167772,0.7908,23.61
qwen3-235B-GQA,fp8,1,32,128,TOTAL,1.0581,100.00,568.423,28.72,0.536871,0.5074,15.15
qwen3-235B-GQA,fp8,1,32,256,proj_qkv,0.4354,16.71,1420.356,71.77,0.289407,0.6646,19.84
qwen3-235B-GQA,fp8,1,32,256,attn,1.7669,67.79,39.272,1.98,0.679477,0.3846,11.48
qwen3-235B-GQA,fp8,1,32,256,proj_o,0.4040,15.50,1360.927,68.77,0.301990,0.7476,22.32
qwen3-235B-GQA,fp8,1,32,256,TOTAL,2.6063,100.00,474.855,23.99,1.270874,0.4876,14.56
qwen3-235B-GQA,fp8,1,32,512,proj_qkv,0.8558,11.32,1445.406,73.04,0.541065,0.6322,18.87
qwen3-235B-GQA,fp8,1,32,512,attn,5.9101,78.16,46.964,2.37,2.432696,0.4116,12.29
qwen3-235B-GQA,fp8,1,32,512,proj_o,0.7954,10.52,1382.299,69.85,0.570425,0.7171,21.41
qwen3-235B-GQA,fp8,1,32,512,TOTAL,7.5613,100.00,345.711,17.47,3.544187,0.4687,13.99
qwen3-235B-GQA,fp8,1,32,1024,proj_qkv,1.6957,6.82,1458.901,73.72,1.044382,0.6159,18.38
qwen3-235B-GQA,fp8,1,32,1024,attn,21.6151,86.89,51.365,2.60,9.160360,0.4238,12.65
qwen3-235B-GQA,fp8,1,32,1024,proj_o,1.5655,6.29,1404.657,70.98,1.107296,0.7073,21.11
qwen3-235B-GQA,fp8,1,32,1024,TOTAL,24.8763,100.00,232.477,11.75,11.312038,0.4547,13.57
qwen3-235B-GQA,fp8,1,32,2048,proj_qkv,3.3869,2.80,1460.850,73.82,2.051015,0.6056,18.08
qwen3-235B-GQA,fp8,1,32,2048,attn,114.5190,94.65,38.780,1.96,35.500589,0.3100,9.25
qwen3-235B-GQA,fp8,1,32,2048,proj_o,3.0893,2.55,1423.661,71.94,2.181038,0.7060,21.07
qwen3-235B-GQA,fp8,1,32,2048,TOTAL,120.9952,100.00,113.945,5.76,39.732642,0.3284,9.80
