key_hash,config_name,config_path,model,operation,batch_size,seq,tp,dp,pp,sp,cp,physical_topology,num_gpus,logical_topology,wall_time,gpu_time,comm_time,overlap,compute_util,memory_util,status,created_at
7fa5be3f675cfd94c605673450d4ad4e00228ba40a0f2ac8f3ad6a902b4a7280,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl32768,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl32768.json,onering,qwen_gqa_hmp_fwd_block2x2,1,32768,16,,,,,60t,mesh2d,4x4,1692,1692,,,52.456,52.845,SUCCESS,2026-03-09 22:43:00
9cd719313844c0a56697c78bae3426d13c66bad1bb9fd5e1c239db00e252a527,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl4096,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl4096.json,onering,qwen_gqa_hmp_fwd_block2x2,1,4096,16,,,,,60t,mesh2d,4x4,468,468,,,78.358,24.459,SUCCESS,2026-03-09 22:43:00
51c1de3ac58d5e96621739082c2cec56fc30b232a4ea5bb2480220f608abcdc3,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl65536.json,onering,qwen_gqa_hmp_fwd_block2x2,1,65536,16,,,,,60t,mesh2d,4x4,3090,3090,,,47.978,57.754,SUCCESS,2026-03-09 22:43:00
b4c5718a6ec1247114556bdb49765a74ae27caa1b61e5ad9c9a1f062cddc3fb9,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl8192,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_hmp_fwd_block2x2_bs1_sl8192.json,onering,qwen_gqa_hmp_fwd_block2x2,1,8192,16,,,,,60t,mesh2d,4x4,642,642,,,68.714,35.037,SUCCESS,2026-03-09 22:43:00
d13de44396426e4761cf7256a5d338ca6e8f3844b74876f7a39df3de5732eb27,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl1024,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl1024.json,onering,qwen_gqa_tp16_fwd,1,1024,16,,,,,60t,mesh2d,4x4,23394,114,23280,,77.464,29.569,SUCCESS,2026-03-09 22:43:01
d6971f99c17215519968bbbbe5eb55f9de44ca56748a8bc68fb17adebfae66a2,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl16384,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl16384.json,onering,qwen_gqa_tp16_fwd,1,16384,16,,,,,60t,mesh2d,4x4,24193,768,23425,,47.779,68.176,SUCCESS,2026-03-09 22:43:03
d12ed5e360ef4766671491d9eec8dcb04a13dde630efd94a15223ef7614e2c76,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl2048,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl2048.json,onering,qwen_gqa_tp16_fwd,1,2048,16,,,,,60t,mesh2d,4x4,23438,158,23280,,68.029,41.991,SUCCESS,2026-03-09 22:43:04
7fb39d9a51245777462b941eeae770f7c482ee7c9462c8251e38c21e2b2faf07,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl32768,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl32768.json,onering,qwen_gqa_tp16_fwd,1,32768,16,,,,,60t,mesh2d,4x4,25183,1468,23715,,45.263,71.428,SUCCESS,2026-03-09 22:43:05
130ce3ee45242153b90710b023bbb9e087f810c8c69d08509440fcd0e421b478,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl4096,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl4096.json,onering,qwen_gqa_tp16_fwd,1,4096,16,,,,,60t,mesh2d,4x4,23524,244,23280,,58.912,53.68,SUCCESS,2026-03-09 22:43:06
576cd8ccae9bbaaf222df4dd647e3e43a06d8e3754f7df9783bf8682b9539af8,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl65536,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl65536.json,onering,qwen_gqa_tp16_fwd,1,65536,16,,,,,60t,mesh2d,4x4,27089,2866,24223,,43.943,73.152,SUCCESS,2026-03-09 22:43:07
880ba62708a6a9d077ac0adfe1d2dc9c57ee33d746ba61d3d07288e3cba36b53,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl8192,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_tp16_fwd_bs1_sl8192.json,onering,qwen_gqa_tp16_fwd,1,8192,16,,,,,60t,mesh2d,4x4,23698,418,23280,,52.188,62.475,SUCCESS,2026-03-09 22:43:08
e3d0f90703fc2de61d5619498e156660d0b199be9e7f78307545570a2c004147,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl1024,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl1024.json,onering,qwen_gqa_baseline_fwd_block2x2,1,1024,16,,,,,60t,mesh2d,4x4,18472,232,18240,,88.877,12.687,SUCCESS,2026-03-09 22:44:17
71726909fd6d4464306a4806b10af74c3925a19daee4a8add80fbe37bef42cd2,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl16384,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl16384.json,onering,qwen_gqa_baseline_fwd_block2x2,1,16384,16,,,,,60t,mesh2d,4x4,19126,886,18240,,54.726,50.303,SUCCESS,2026-03-09 22:44:18
48edf36ed0c8b123eea65c15f47e46b09bc693bc2ad07369041f99a4364578e3,tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl2048,/home/haotian/waferchip/mesh2D/astra_sim_picasso/examples/run_scripts/analytical/congestion_aware/configs/gqa_seq_scaling_60T/tp16_hbm4_60t_mesh2d_4x4_onering_qwen_gqa_baseline_fwd_block2x2_bs1_sl2048.json,onering,qwen_gqa_baseline_fwd_block2x2,1,2048,16,,,,,60t,mesh2d,4x4,18516,276,18240,,81.649,20.684,SUCCESS,2026-03-09 22:44:19
